VM3149:14 R1: 02e7, R2: ba98, R3: 89ab, R4: e000, R5: 1337, R6: 07ff, R7: 03ff, R8: 0000,  ha: 1
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 0066, R5: 0039, R6: 0000, R7: 0016, R8: 0025,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 0066, R5: 0039, R6: 0000, R7: 0016, R8: 001a,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 0066, R5: 0039, R6: 0000, R7: 0016, R8: 001b,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 006c, R5: 0039, R6: 0000, R7: 0016, R8: 001c,  ha: 0, lf: 1, la: 1002, ld: 006c
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 006c, R5: 0000, R6: 0000, R7: 0016, R8: 001d,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 006c, R5: 0030, R6: 0000, R7: 0016, R8: 001e,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 006c, R5: 0030, R6: 0001, R7: 0016, R8: 001f,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 006c, R5: 0030, R6: 0001, R7: 0016, R8: 0020,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 006c, R5: 0039, R6: 0001, R7: 0016, R8: 0021,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 006c, R5: 0039, R6: 0000, R7: 0016, R8: 0022,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 006c, R5: 0039, R6: 0000, R7: 0016, R8: 0024,  ha: 0
VM3149:14 R1: 1000, R2: 1003, R3: 1025, R4: 006c, R5: 0039, R6: 0000, R7: 0016, R8: 0025,  ha: 0
VM3149:14 R1: 1000, R2: 1003, R3: 1025, R4: 006c, R5: 0039, R6: 0000, R7: 0016, R8: 001a,  ha: 0
VM3149:14 R1: 1000, R2: 1003, R3: 1025, R4: 006c, R5: 0039, R6: 0000, R7: 0016, R8: 001b,  ha: 0
VM3149:14 R1: 1000, R2: 1003, R3: 1025, R4: 0061, R5: 0039, R6: 0000, R7: 0016, R8: 001c,  ha: 0, lf: 1, la: 1003, ld: 0061
VM3149:14 R1: 1000, R2: 1003, R3: 1025, R4: 0061, R5: 0000, R6: 0000, R7: 0016, R8: 001d,  ha: 0
VM3149:14 R1: 1000, R2: 1003, R3: 1025, R4: 0061, R5: 0030, R6: 0000, R7: 0016, R8: 001e,  ha: 0
VM3149:14 R1: 1000, R2: 1003, R3: 1025, R4: 0061, R5: 0030, R6: 0001, R7: 0016, R8: 001f,  ha: 0
VM3149:14 R1: 1000, R2: 1003, R3: 1025, R4: 0061, R5: 0030, R6: 0001, R7: 0016, R8: 0020,  ha: 0
VM3149:14 R1: 1000, R2: 1003, R3: 1025, R4: 0061, R5: 0039, R6: 0001, R7: 0016, R8: 0021,  ha: 0
VM3149:14 R1: 1000, R2: 1003, R3: 1025, R4: 0061, R5: 0039, R6: 0000, R7: 0016, R8: 0022,  ha: 0
